id,accid,cost,info,createdate
1,9131602584,9000000,پرداخت شارژ ساختمان,2012-6-20
2,9131602584,600000,پرداخت شارژ ساختمان,2012-7-16
3,9131602584,10000000,پرداخت شارژ ساختمان,2012-8-17
4,9131602584,50000000,پرداخت شارژ ساختمان,2012-9-17
5,9131602584,10000000,پرداخت شارژ ساختمان,2012-10-14
6,9131602584,300000,پرداخت شارژ ساختمان,2012-11-15
7,9131602584,100000,پرداخت شارژ ساختمان,2012-12-18
8,9131602584,80000000,پرداخت شارژ ساختمان,2013-1-20
9,9131602584,50000000,پرداخت شارژ ساختمان,2013-2-12
10,9131602584,10000000,پرداخت شارژ ساختمان,2013-3-20
11,9131602584,1000000,پرداخت شارژ ساختمان,2013-4-11
12,9131602584,9000000,پرداخت شارژ ساختمان,2013-5-10
13,9131602584,9000000,پرداخت شارژ ساختمان,2013-6-11
14,9131602584,10000000,پرداخت شارژ ساختمان,2013-7-16
15,9131602584,30000000,پرداخت شارژ ساختمان,2013-8-19
16,9131602584,300000,پرداخت شارژ ساختمان,2013-9-20
17,9131602584,7000000,پرداخت شارژ ساختمان,2013-10-14
18,9131602584,200000,پرداخت شارژ ساختمان,2013-11-14
19,9131602584,100000,پرداخت شارژ ساختمان,2013-12-12
20,9131602584,7000000,پرداخت شارژ ساختمان,2014-1-13
21,9131602584,700000,پرداخت شارژ ساختمان,2014-2-11
22,9131602584,400000,پرداخت شارژ ساختمان,2014-3-13
23,9131602584,20000000,پرداخت شارژ ساختمان,2014-4-16
24,9131602584,3000000,پرداخت شارژ ساختمان,2014-5-16
25,9131602584,4000000,پرداخت شارژ ساختمان,2014-6-14
26,9131602584,2000000,پرداخت شارژ ساختمان,2014-7-13
27,9131602584,800000,پرداخت شارژ ساختمان,2014-8-20
28,9131602584,40000000,پرداخت شارژ ساختمان,2014-9-18
29,9131602584,1000000,پرداخت شارژ ساختمان,2014-10-20
30,9131602584,6000000,پرداخت شارژ ساختمان,2014-11-19
31,9131602584,3000000,پرداخت شارژ ساختمان,2014-12-13
32,9131602584,100000,پرداخت شارژ ساختمان,2015-1-15
33,9131602584,30000000,پرداخت شارژ ساختمان,2015-2-16
34,9131602584,40000000,پرداخت شارژ ساختمان,2015-3-12
35,9131602584,1000000,پرداخت شارژ ساختمان,2015-4-10
36,9131602584,4000000,پرداخت شارژ ساختمان,2015-5-14
37,9131602584,1000000,پرداخت شارژ ساختمان,2015-6-14
38,9131602584,10000000,پرداخت شارژ ساختمان,2015-7-10
39,9131602584,400000,پرداخت شارژ ساختمان,2015-8-17
40,9131602584,200000,پرداخت شارژ ساختمان,2015-9-16
41,9131602584,60000000,پرداخت شارژ ساختمان,2015-10-14
42,9131602584,9000000,پرداخت شارژ ساختمان,2015-11-16
43,9131602584,60000000,پرداخت شارژ ساختمان,2015-12-18
44,9131602584,500000,پرداخت شارژ ساختمان,2016-1-15
45,9131602584,20000000,پرداخت شارژ ساختمان,2016-2-10
46,9131602584,700000,پرداخت شارژ ساختمان,2016-3-11
47,9131602584,3000000,پرداخت شارژ ساختمان,2016-4-19
48,9131602584,800000,پرداخت شارژ ساختمان,2016-5-18
49,9131602584,100000,پرداخت شارژ ساختمان,2016-6-11
50,9131602584,900000,پرداخت شارژ ساختمان,2016-7-14
51,9131602584,8000000,پرداخت شارژ ساختمان,2016-8-20
52,9131602584,80000000,پرداخت شارژ ساختمان,2016-9-10
53,9131602584,800000,پرداخت شارژ ساختمان,2016-10-11
54,9131602584,7000000,پرداخت شارژ ساختمان,2016-11-10
55,9131602584,900000,پرداخت شارژ ساختمان,2016-12-17
56,9131602584,6000000,پرداخت شارژ ساختمان,2017-1-14
57,9131602584,30000000,پرداخت شارژ ساختمان,2017-2-12
58,9131602584,900000,پرداخت شارژ ساختمان,2017-3-17
59,9131602584,800000,پرداخت شارژ ساختمان,2017-4-10
60,9131602584,90000000,پرداخت شارژ ساختمان,2017-5-19
61,9131602584,90000000,پرداخت شارژ ساختمان,2017-6-19
62,9131602584,70000000,پرداخت شارژ ساختمان,2017-7-15
63,9131602584,3000000,پرداخت شارژ ساختمان,2017-8-20
64,9131602584,9000000,پرداخت شارژ ساختمان,2017-9-15
65,9131602584,10000000,پرداخت شارژ ساختمان,2017-10-13
66,9131602584,900000,پرداخت شارژ ساختمان,2017-11-15
67,9131602584,70000000,پرداخت شارژ ساختمان,2017-12-20
68,9131602584,8000000,پرداخت شارژ ساختمان,2018-1-10
69,9131602584,700000,پرداخت شارژ ساختمان,2018-2-17
70,9131602584,100000,پرداخت شارژ ساختمان,2018-3-11
71,9131602584,3000000,پرداخت شارژ ساختمان,2018-4-17
72,9131602584,80000000,پرداخت شارژ ساختمان,2018-5-16
73,9131602584,90000000,پرداخت شارژ ساختمان,2018-6-16
74,9131602584,10000000,پرداخت شارژ ساختمان,2018-7-10
75,9131602584,30000000,پرداخت شارژ ساختمان,2018-8-10
76,9131602584,20000000,پرداخت شارژ ساختمان,2018-9-15
77,9131602584,9000000,پرداخت شارژ ساختمان,2018-10-20
78,9131602584,10000000,پرداخت شارژ ساختمان,2018-11-13
79,9131602584,80000000,پرداخت شارژ ساختمان,2018-12-16
80,9131602584,80000000,پرداخت شارژ ساختمان,2019-1-12
81,9131602584,90000000,پرداخت شارژ ساختمان,2019-2-12
82,9131602584,700000,پرداخت شارژ ساختمان,2019-3-18
83,9131602584,10000000,پرداخت شارژ ساختمان,2019-4-15
84,9131602584,9000000,پرداخت شارژ ساختمان,2019-5-16
85,9131602584,60000000,پرداخت شارژ ساختمان,2019-6-20
